WORD;TRANSLATION;DIFFICULTY
Profit (n);;5
Proper (adj);;5
Prospector (n) ;;5
Protect (v);;5
Prove (v);;5
Provide (v);;5
Pump (v);;5
Purchase(v) ;;5
Purification (n);;5
Quality (n);;5
Quantity (n);;5
Quench (v);;5
Raise (v);;5
Range (v);;5
Rate (n);;5
Raw (n);;5
Reach (v);;5
React (v);;5
Reaction (n);;5
Realize (v);;5
Realization(n) ;;5
Receive (v);;5
Recent (adj);;5
Recover (v);;5
Rectangular (n) ;;5
Recycle (v);;5
Region (n);;5
Relation (n);;5
Relatively (adv);;5
Rely (v);;5
Remain (v);;5
Remoteness (n) ;;5
Removable (adj);;5
Repair (v);;5
Require (v);;5
Research (n);;5
Resistivity (n);;5
Result in (v);;5
Reverse (v);;5
Rigid (adj);;5
Rock (rocker) ;;5
Roof (n);;5
Row (n);;5
Sample (v);;5
Sand (n);;5
Scale (n);;5
Shape (n, v);;5
Sheet (n);;5
Shell (n);;5
Shop (n);;5
Significant (adj);;5
Solid (adj);;5
Soluble (adj);;5
Solution (n);;5
Source (n);;5
Spark (n);;5
Meet specification (v);;5
Spray (v);;5
Spread (v);;5
Square (adj);;5
Stability (n);;5
Substance (n);;5
Sufficient (adj);;5
Supply (n, v);;5
Suppress (v);;5
Survive (v);;5
Suspend  (v);;5
Take out  (v);;5
Tank (n);;5
Tend (v);;5
Tension (n);;5
Tilt (v);;5
Tool (n);;5
Top (n);;5
Torsion (n);;5
Tough (adj);;5
Toughness (n);;5
Transfer (v);;5
Transform (v);;5
Treat (v);;5
Treatment (n);;5
Turn down (v);;5
Undergo (v);;5
Usage (n);;5
Valid (adj);;5
Vary (v);;5
Velocity (n);;5
Vital (adj);;5
Volume (n);;5
Wash (v);;5
Way (n);;5
Wear (v);;5
Wire (n);;5
Withdraw (v);;5
Withstand (v);;5
